Land ID,Location,Size (Acres),Base Price (INR),Current Bid (INR),Bidder ID,Bid Timestamp,Status
LAND00104,Trichy,1.8,316818,364747,BID236,2025-03-22 20:08:06,Closed
LAND00105,Chennai,3.78,168578,253140,BID491,2025-03-11 12:08:06,Sold
LAND00106,Chennai,3.41,369742,467307,BID167,2025-02-18 07:08:06,Open
LAND00107,Madurai,9.76,209617,295793,BID393,2025-03-30 15:08:06,Sold
LAND00108,Madurai,1.92,181204,232161,BID348,2025-02-09 11:08:06,Sold
LAND00109,Coimbatore,8.3,480977,555641,BID994,2025-02-07 20:08:06,Closed
LAND00110,Coimbatore,5.4,123084,198967,BID510,2025-03-05 15:08:06,Open
LAND00111,Madurai,7.13,449774,504533,BID239,2025-02-11 04:08:06,Sold
LAND00112,Salem,2.11,368235,436243,BID115,2025-02-21 15:08:06,Closed
LAND00113,Chennai,3.62,347884,393986,BID427,2025-03-01 15:08:06,Sold
LAND00114,Madurai,6.46,383444,474286,BID345,2025-02-27 16:08:06,Sold
LAND00115,Trichy,2.98,143635,186333,BID678,2025-02-21 07:08:06,Open
LAND00116,Salem,7.74,414850,447101,BID874,2025-02-15 07:08:06,Sold
LAND00117,Madurai,2.53,454424,535367,BID877,2025-03-05 23:08:06,Open
LAND00118,Coimbatore,8.32,145922,214766,BID565,2025-02-11 15:08:06,Sold
LAND00119,Coimbatore,5.62,176789,230272,BID828,2025-03-27 08:08:06,Open
LAND00120,Trichy,2.55,317169,401518,BID359,2025-02-12 20:08:06,Open
LAND00121,Coimbatore,2.41,349413,404027,BID921,2025-02-11 22:08:06,Sold
LAND00122,Madurai,8.44,242620,327238,BID485,2025-03-21 22:08:06,Open
LAND00123,Chennai,3.1,123643,154916,BID386,2025-02-27 13:08:06,Sold
LAND00124,Trichy,3.25,327548,406289,BID135,2025-03-19 07:08:06,Sold
LAND00125,Coimbatore,1.72,430615,515420,BID960,2025-02-16 21:08:06,Open
LAND00126,Madurai,2.84,208605,288132,BID418,2025-03-18 05:08:06,Closed
LAND00127,Salem,8.15,194509,225010,BID995,2025-03-06 23:08:06,Sold
LAND00128,Coimbatore,2.05,137890,229869,BID235,2025-03-29 06:08:06,Closed
LAND00129,Madurai,1.24,260128,356197,BID268,2025-03-27 10:08:06,Closed
LAND00130,Salem,6.95,136882,155691,BID426,2025-03-06 07:08:06,Open
LAND00131,Coimbatore,6.58,451508,479934,BID106,2025-02-26 19:08:06,Closed
LAND00132,Trichy,2.87,341089,351231,BID832,2025-03-11 02:08:06,Closed
LAND00133,Madurai,3.52,277991,346478,BID856,2025-03-13 03:08:06,Sold
LAND00134,Coimbatore,8.81,480220,577840,BID956,2025-02-24 20:08:06,Closed
LAND00135,Coimbatore,1.27,298936,348755,BID359,2025-02-15 21:08:06,Sold
LAND00136,Salem,5.06,259694,285460,BID224,2025-03-14 08:08:06,Open
LAND00137,Trichy,3.27,152161,192602,BID125,2025-03-19 08:08:06,Sold
LAND00138,Trichy,6.35,118225,144680,BID894,2025-02-24 03:08:06,Sold
LAND00139,Chennai,7.53,335209,388173,BID205,2025-02-10 08:08:06,Closed
LAND00140,Trichy,6.25,475745,574709,BID387,2025-03-13 10:08:06,Closed
LAND00141,Madurai,2.65,244144,280872,BID674,2025-03-29 04:08:06,Open
LAND00142,Trichy,6.72,174508,269232,BID706,2025-04-01 23:08:06,Sold
LAND00143,Salem,1.16,248358,278358,BID807,2025-03-01 02:08:06,Open
LAND00144,Salem,2.51,218988,289212,BID844,2025-02-21 03:08:06,Open
LAND00145,Coimbatore,5.09,208848,303540,BID531,2025-02-15 02:08:06,Sold
LAND00146,Chennai,3.09,284751,298826,BID993,2025-03-19 21:08:06,Closed
LAND00147,Salem,2.94,229010,318945,BID382,2025-02-16 23:08:06,Closed
LAND00148,Madurai,2.52,413442,468328,BID745,2025-02-19 18:08:06,Sold
LAND00149,Salem,8.09,468628,534165,BID538,2025-02-27 05:08:06,Sold
LAND00150,Trichy,7.49,413116,461734,BID350,2025-02-20 05:08:06,Closed
LAND00151,Coimbatore,4.9,231588,326898,BID383,2025-02-10 08:08:06,Open
LAND00152,Salem,9.3,134623,159040,BID965,2025-03-20 05:08:06,Open
LAND00153,Salem,9.87,399413,445943,BID781,2025-03-10 07:08:06,Open
LAND00154,Trichy,5.03,312298,395195,BID738,2025-02-20 21:08:06,Sold
LAND00155,Salem,4.34,124771,203804,BID924,2025-03-17 18:08:06,Open
LAND00156,Madurai,9.44,213260,307770,BID413,2025-03-08 06:08:06,Sold
LAND00157,Chennai,9.42,383590,427702,BID499,2025-02-27 02:08:06,Closed
LAND00158,Chennai,7.19,141421,195071,BID663,2025-02-13 15:08:06,Sold
LAND00159,Trichy,9.55,424118,518923,BID496,2025-03-16 03:08:06,Sold
LAND00160,Coimbatore,7.68,189081,257950,BID913,2025-03-31 22:08:06,Closed
LAND00161,Coimbatore,8.48,379391,437561,BID887,2025-02-14 12:08:06,Sold
LAND00162,Trichy,2.86,233558,281785,BID532,2025-02-11 06:08:06,Closed
LAND00163,Trichy,2.03,246361,269269,BID112,2025-02-17 13:08:06,Closed
LAND00164,Trichy,7.05,199526,295181,BID170,2025-03-21 08:08:06,Closed
LAND00165,Chennai,6.67,344232,392197,BID593,2025-02-14 11:08:06,Open
LAND00166,Chennai,2.84,483976,531807,BID920,2025-02-24 00:08:06,Sold
LAND00167,Salem,9.56,259019,348962,BID459,2025-03-09 20:08:06,Closed
LAND00168,Coimbatore,4.06,135314,193875,BID414,2025-02-06 09:08:06,Sold
LAND00169,Salem,8.82,328750,351275,BID734,2025-03-16 20:08:06,Open
LAND00170,Salem,3.57,329976,414380,BID799,2025-02-12 21:08:06,Closed
LAND00171,Salem,4.11,147774,220475,BID938,2025-02-23 18:08:06,Closed
LAND00172,Trichy,4.59,321028,414992,BID158,2025-03-02 19:08:06,Sold
LAND00173,Salem,1.09,388527,406153,BID931,2025-03-21 05:08:06,Sold
LAND00174,Chennai,9.2,195761,266984,BID108,2025-03-22 06:08:06,Open
LAND00175,Trichy,5.31,129451,139720,BID386,2025-03-24 04:08:06,Sold
LAND00176,Trichy,2.32,305977,377084,BID715,2025-02-26 07:08:06,Open
LAND00177,Coimbatore,3.81,101643,152278,BID106,2025-03-25 18:08:06,Open
LAND00178,Trichy,6.13,192373,250706,BID856,2025-03-27 14:08:06,Closed
LAND00179,Salem,9.1,270469,356022,BID856,2025-02-28 07:08:06,Closed
LAND00180,Trichy,5.76,267932,301601,BID130,2025-04-05 15:08:06,Sold
LAND00181,Madurai,3.95,212468,256993,BID311,2025-03-20 03:08:06,Sold
LAND00182,Chennai,3.66,309051,408634,BID966,2025-03-20 13:08:06,Closed
LAND00183,Trichy,9.98,375662,398911,BID440,2025-03-22 14:08:06,Sold
LAND00184,Salem,9.03,245084,314770,BID451,2025-03-17 00:08:06,Sold
LAND00185,Salem,8.83,132846,176272,BID192,2025-04-05 16:08:06,Sold
LAND00186,Salem,3.55,272552,341532,BID134,2025-02-17 15:08:06,Open
LAND00187,Salem,4.16,183531,238844,BID144,2025-03-11 19:08:06,Closed
LAND00188,Madurai,1.63,297973,351048,BID876,2025-03-09 23:08:06,Closed
LAND00189,Chennai,9.99,272098,301092,BID168,2025-03-17 18:08:06,Closed
LAND00190,Coimbatore,8.39,324395,339355,BID976,2025-03-09 07:08:06,Closed
LAND00191,Chennai,7.73,221826,291984,BID267,2025-03-15 07:08:06,Open
LAND00192,Madurai,7.21,317344,353493,BID206,2025-03-13 01:08:06,Closed
LAND00193,Coimbatore,1.58,311930,342285,BID878,2025-02-15 21:08:06,Closed
LAND00194,Coimbatore,9.25,272756,328776,BID326,2025-02-08 04:08:06,Closed
LAND00195,Madurai,8.35,155426,166884,BID595,2025-02-20 02:08:06,Open
LAND00196,Salem,9.19,195774,255067,BID434,2025-02-28 18:08:06,Sold
LAND00197,Madurai,7.96,155204,248503,BID975,2025-02-27 02:08:06,Closed
LAND00198,Coimbatore,3.57,181719,268485,BID785,2025-03-04 19:08:06,Sold
LAND00199,Salem,3.69,145655,166739,BID880,2025-02-24 03:08:06,Open
LAND00200,Salem,8.3,168583,204698,BID770,2025-03-31 12:08:06,Open
LAND00201,Salem,7.87,335010,414411,BID426,2025-04-01 15:08:06,Sold
LAND00202,Coimbatore,1.13,157237,179758,BID525,2025-03-24 13:08:06,Closed
LAND00203,Trichy,8.26,363555,444572,BID957,2025-03-07 11:08:06,Sold
LAND00204,Chennai,9.85,416653,488903,BID604,2025-03-22 00:08:06,Sold
LAND00205,Coimbatore,9.77,439270,468775,BID494,2025-02-24 23:08:06,Closed
LAND00206,Trichy,7.02,246347,303674,BID661,2025-03-12 19:08:06,Open
LAND00207,Madurai,3.25,133930,197417,BID122,2025-04-03 04:08:06,Sold
LAND00208,Chennai,8.85,105660,163391,BID709,2025-02-28 18:08:06,Closed
LAND00209,Chennai,9.22,248770,308524,BID953,2025-03-28 10:08:06,Open
LAND00210,Coimbatore,2.45,138615,212140,BID964,2025-03-22 13:08:06,Sold
LAND00211,Coimbatore,3.98,334399,346308,BID970,2025-03-20 01:08:06,Closed
LAND00212,Trichy,2.01,269416,315147,BID308,2025-03-16 07:08:06,Sold
LAND00213,Chennai,8.25,202493,255260,BID615,2025-03-30 02:08:06,Closed
LAND00214,Salem,2.37,478450,513658,BID863,2025-03-05 16:08:06,Closed
LAND00215,Trichy,7.66,156342,206270,BID914,2025-03-25 22:08:06,Closed
LAND00216,Salem,4.1,211902,231503,BID217,2025-03-03 08:08:06,Sold
LAND00217,Madurai,4.7,404303,441669,BID687,2025-03-23 06:08:06,Closed
LAND00218,Trichy,2.16,395777,430332,BID446,2025-03-08 15:08:06,Open
LAND00219,Trichy,8.61,312296,372911,BID374,2025-02-12 14:08:06,Open
LAND00220,Coimbatore,8.49,295187,394520,BID395,2025-03-13 11:08:06,Open
LAND00221,Salem,9.35,152658,197307,BID782,2025-03-05 22:08:06,Sold
LAND00222,Salem,9.89,473401,553321,BID166,2025-03-29 19:08:06,Closed
LAND00223,Chennai,4.61,339884,406551,BID443,2025-03-04 14:08:06,Closed
LAND00224,Chennai,5.63,447301,476982,BID904,2025-04-03 00:08:06,Open
LAND00225,Coimbatore,5.88,313572,405158,BID213,2025-03-08 12:08:06,Closed
LAND00226,Madurai,6.95,345348,445250,BID912,2025-03-06 07:08:06,Sold
LAND00227,Coimbatore,8.87,236327,276859,BID638,2025-03-07 22:08:06,Sold
LAND00228,Salem,3.88,423903,503383,BID772,2025-03-13 07:08:06,Closed
LAND00229,Coimbatore,6.63,425029,507186,BID461,2025-02-20 18:08:06,Open
LAND00230,Salem,5.04,398203,443491,BID163,2025-02-05 14:08:06,Open
LAND00231,Trichy,1.71,230338,309521,BID895,2025-03-24 08:08:06,Sold
LAND00232,Salem,6.86,171549,226965,BID683,2025-02-23 23:08:06,Open
LAND00233,Trichy,4.57,258942,320194,BID609,2025-04-03 00:08:06,Open
LAND00234,Salem,7.62,298910,389123,BID784,2025-03-09 20:08:06,Closed
LAND00235,Madurai,4.93,127762,152915,BID874,2025-04-05 22:08:06,Open
LAND00236,Salem,8.82,217328,249431,BID278,2025-03-14 22:08:06,Closed
LAND00237,Chennai,4.31,449607,522159,BID549,2025-03-25 06:08:06,Closed
LAND00238,Coimbatore,9.19,420139,511702,BID528,2025-03-23 03:08:06,Sold
LAND00239,Madurai,1.1,394954,427747,BID165,2025-03-01 16:08:06,Sold
LAND00240,Trichy,6.18,286391,353289,BID436,2025-02-07 11:08:06,Closed
LAND00241,Coimbatore,4.17,365457,407719,BID799,2025-02-09 10:08:06,Closed
LAND00242,Salem,4.21,129979,172754,BID343,2025-03-11 23:08:06,Sold
LAND00243,Coimbatore,1.22,480002,528911,BID475,2025-02-09 22:08:06,Open
LAND00244,Madurai,8.29,170710,193984,BID778,2025-03-04 12:08:06,Closed
LAND00245,Trichy,1.17,411554,438861,BID645,2025-02-10 19:08:06,Closed
LAND00246,Chennai,6.88,303267,373386,BID854,2025-03-05 09:08:06,Sold
LAND00247,Trichy,2.1,406514,505254,BID885,2025-03-31 22:08:06,Sold
LAND00248,Salem,8.99,167350,187815,BID139,2025-03-02 09:08:06,Sold
LAND00249,Madurai,3.15,283414,320273,BID638,2025-03-16 09:08:06,Closed
LAND00250,Chennai,9.88,286816,347347,BID323,2025-04-05 20:08:06,Closed
LAND00251,Trichy,1.01,226830,265543,BID833,2025-03-24 19:08:06,Open
LAND00252,Trichy,6.73,327454,417465,BID735,2025-02-19 21:08:06,Sold
LAND00253,Trichy,7.13,171242,226292,BID478,2025-02-18 04:08:06,Closed
LAND00254,Trichy,6.66,439187,496240,BID779,2025-03-27 19:08:06,Open
LAND00255,Madurai,3.88,243312,304821,BID557,2025-03-13 10:08:06,Open
LAND00256,Salem,9.3,389841,473410,BID132,2025-03-19 16:08:06,Closed
LAND00257,Trichy,6.1,260701,299636,BID605,2025-03-04 02:08:06,Sold
LAND00258,Chennai,1.83,246803,295491,BID253,2025-02-05 16:08:06,Open
LAND00259,Coimbatore,3.42,140495,185425,BID971,2025-03-05 00:08:06,Sold
LAND00260,Trichy,9.89,156296,226758,BID291,2025-03-28 06:08:06,Closed
LAND00261,Salem,7.13,128257,195989,BID105,2025-02-28 11:08:06,Sold
LAND00262,Chennai,4.08,368587,426947,BID153,2025-03-28 10:08:06,Closed
LAND00263,Salem,9.28,201889,289784,BID715,2025-03-10 10:08:06,Closed
LAND00264,Chennai,2.89,457897,514637,BID486,2025-03-18 05:08:06,Sold
LAND00265,Chennai,2.01,169359,238038,BID444,2025-03-04 08:08:06,Sold
LAND00266,Trichy,3.96,433352,464347,BID102,2025-02-10 01:08:06,Sold
LAND00267,Coimbatore,4.83,107125,156007,BID807,2025-03-04 11:08:06,Closed
LAND00268,Salem,3.05,248578,267400,BID746,2025-03-25 04:08:06,Open
LAND00269,Trichy,5.56,431181,520018,BID665,2025-02-17 03:08:06,Sold
LAND00270,Madurai,7.92,349663,425179,BID438,2025-02-10 20:08:06,Sold
LAND00271,Coimbatore,7.51,163633,258493,BID249,2025-02-09 04:08:06,Sold
LAND00272,Madurai,4.7,431104,460506,BID414,2025-03-06 09:08:06,Open
LAND00273,Coimbatore,7.23,425141,461522,BID394,2025-02-20 09:08:06,Sold
LAND00274,Trichy,3.53,363791,382418,BID958,2025-03-04 22:08:06,Closed
LAND00275,Madurai,1.41,260610,356493,BID751,2025-04-01 15:08:06,Sold
LAND00276,Salem,4.66,330212,405421,BID466,2025-02-06 19:08:06,Sold
LAND00277,Salem,5.13,303733,379254,BID737,2025-02-13 19:08:06,Closed
LAND00278,Coimbatore,3.54,277587,377372,BID381,2025-03-24 07:08:06,Open
LAND00279,Chennai,6.65,164805,216721,BID200,2025-04-03 06:08:06,Sold
LAND00280,Trichy,7.41,467132,523989,BID189,2025-02-22 08:08:06,Sold
LAND00281,Coimbatore,5.29,279151,293197,BID725,2025-03-27 16:08:06,Closed
LAND00282,Salem,7.21,233402,288063,BID598,2025-03-14 03:08:06,Closed
LAND00283,Trichy,8.37,493822,576223,BID239,2025-02-28 20:08:06,Sold
LAND00284,Salem,4.63,227149,271273,BID668,2025-02-27 18:08:06,Sold
LAND00285,Madurai,1.43,444119,458606,BID552,2025-03-07 23:08:06,Sold
LAND00286,Salem,3.66,384297,402086,BID773,2025-03-11 18:08:06,Open
LAND00287,Trichy,8.2,319958,335950,BID407,2025-03-13 20:08:06,Sold
LAND00288,Madurai,3.73,349853,428901,BID331,2025-02-16 08:08:06,Closed
LAND00289,Madurai,9.72,392976,403701,BID989,2025-02-06 00:08:06,Sold
LAND00290,Coimbatore,1.04,290598,343166,BID394,2025-02-16 17:08:06,Sold
LAND00291,Salem,2.48,335621,368862,BID298,2025-03-24 08:08:06,Closed
LAND00292,Trichy,1.9,141270,226271,BID856,2025-03-04 13:08:06,Sold
LAND00293,Madurai,1.36,436506,458085,BID729,2025-02-15 07:08:06,Closed
LAND00294,Trichy,8.11,254074,349187,BID307,2025-03-27 14:08:06,Closed
LAND00295,Salem,5.8,182510,257001,BID225,2025-03-11 21:08:06,Open
LAND00296,Chennai,6.59,170699,195581,BID135,2025-02-24 00:08:06,Sold
LAND00297,Madurai,1.92,290104,369145,BID318,2025-02-07 11:08:06,Closed
LAND00298,Trichy,6.48,338695,378871,BID422,2025-03-20 00:08:06,Sold
LAND00299,Madurai,3.02,407993,462217,BID524,2025-04-04 04:08:06,Closed
LAND00300,Salem,4.32,395600,472717,BID468,2025-02-20 09:08:06,Sold
LAND00301,Trichy,5.34,132146,159193,BID334,2025-02-25 11:08:06,Closed
LAND00302,Chennai,3.99,230389,317519,BID489,2025-03-13 16:08:06,Closed
LAND00303,Coimbatore,2.73,438414,495290,BID336,2025-02-15 14:08:06,Open
LAND00304,Trichy,9.66,213525,259946,BID256,2025-03-29 00:08:06,Sold
LAND00305,Chennai,1.74,389489,452675,BID241,2025-02-21 15:08:06,Open
LAND00306,Salem,9.7,447699,533961,BID480,2025-02-12 07:08:06,Closed
LAND00307,Coimbatore,1.25,107669,162778,BID278,2025-02-15 17:08:06,Closed
LAND00308,Chennai,3.21,203913,244218,BID524,2025-03-01 14:08:06,Sold
LAND00309,Salem,2.87,423756,460812,BID130,2025-03-10 10:08:06,Closed
LAND00310,Coimbatore,5.95,304093,355733,BID270,2025-03-09 15:08:06,Sold
LAND00311,Madurai,3.74,125101,148137,BID675,2025-02-14 14:08:06,Sold
LAND00312,Madurai,8.86,119491,208735,BID301,2025-02-19 00:08:06,Closed
LAND00313,Coimbatore,4.89,450319,525019,BID475,2025-03-28 02:08:06,Open
LAND00314,Chennai,9.33,212735,305223,BID128,2025-03-01 08:08:06,Sold
LAND00315,Madurai,2.61,363293,406434,BID291,2025-03-09 02:08:06,Sold
LAND00316,Coimbatore,1.52,368916,383713,BID936,2025-02-15 17:08:06,Sold
LAND00317,Salem,3.53,158108,210642,BID330,2025-03-15 15:08:06,Open
LAND00318,Chennai,7.4,176981,196801,BID742,2025-03-09 16:08:06,Sold
LAND00319,Coimbatore,2.27,474510,559772,BID489,2025-03-03 01:08:06,Open
LAND00320,Salem,6.33,305452,374365,BID737,2025-03-24 02:08:06,Open
LAND00321,Chennai,5.89,195099,281579,BID612,2025-02-15 18:08:06,Sold
LAND00322,Chennai,6.08,220223,263120,BID206,2025-03-19 22:08:06,Closed
LAND00323,Madurai,2.1,331065,359224,BID311,2025-03-30 02:08:06,Sold
LAND00324,Coimbatore,2.53,325108,385305,BID676,2025-02-11 16:08:06,Closed
LAND00325,Chennai,2.84,430705,442260,BID842,2025-02-28 14:08:06,Sold
LAND00326,Trichy,8.9,200336,291047,BID765,2025-02-24 02:08:06,Open
LAND00327,Coimbatore,8.7,377754,408638,BID811,2025-02-12 06:08:06,Open
LAND00328,Salem,8.52,310702,322095,BID680,2025-04-02 11:08:06,Sold
LAND00329,Trichy,3.81,394954,491033,BID634,2025-03-08 13:08:06,Closed
LAND00330,Trichy,3.61,132729,164383,BID670,2025-03-29 20:08:06,Closed
LAND00331,Trichy,2.14,205781,284386,BID245,2025-03-30 09:08:06,Sold
